tableIdx,columnIdx,columns_name,columns_name_kr,columns_type,columns_desc,timestamp,standard_yn
1380,21,purchaseamount_cash_gift,선물금액,money,3개월 유료 구매액(선물한 금액만),2019-12-12 07:50:10.357,N
1380,22,firstgame_purchase_serviceid,1순위 서비스아이디,bigint,1순위 게임 서비스아이디,2019-12-12 07:50:10.357,N
1380,23,firstgame_purchase_gameid,1순위 게임ID,bigint,1순위 게임ID,2019-12-12 07:50:10.357,N
1380,24,firstgame_purchase_gamename,1순위 구매 게임명,varchar,1순위 구매 게임명,2019-12-12 07:50:10.357,N
1380,25,firstgame_purchaseamount_cash_nongift,1순위 게임 구매 금액,money,1순위게임 3개월 유료 구매금액 (선물제외),2019-12-12 07:50:10.357,N
1380,26,firstgame_purchaseamount_cash_gift,1순위 게임 선물 금액,money,1순위게임 3개월 유료 구매금액 (선물),2019-12-12 07:50:10.357,N
1380,27,firstgame_purchaseamount_ratio,1순위 게임 매출 비중,float,1순위게임 3개월 누적 매출 비중,2019-12-12 07:50:10.357,N
1380,28,secondgame_purchase_serviceid,2순위 서비스아이디,bigint,2순위 게임 서비스아이디,2019-12-12 07:50:10.357,N
1380,29,secondgame_purchase_gameid,2순위 게임ID,bigint,2순위 게임ID,2019-12-12 07:50:10.357,N
1380,30,secondgame_purchase_gamename,2순위 구매 게임명,varchar,2순위 구매 게임명,2019-12-12 07:50:10.357,N
1380,31,secondgame_purchaseamount_cash_nongift,2순위 게임 구매 금액,money,2순위게임 3개월 유료 구매금액 (선물제외),2019-12-12 07:50:10.357,N
1380,32,secondgame_purchaseamount_cash_gift,2순위 게임 선물 금액,money,2순위게임 3개월 유료 구매금액 (선물),2019-12-12 07:50:10.357,N
1380,33,secondgame_purchaseamount_ratio,2순위 게임 매출 비중,float,2순위게임 3개월 누적 매출 비중,2019-12-12 07:50:10.357,N
1380,34,thirdgame_purchase_serviceid,3순위 서비스아이디,bigint,3순위 게임 서비스아이디,2019-12-12 07:50:10.357,N
